"local","X1","X2","X3","X4","X5","X6","X7","X8","P1netPhotocm2","P1symprot","P1symcarb","P1symlip","P1volume","P1chlacell","P1chladensity","P1netPhotocell","P1STfvfm","P1STdvfm","P1STsigma","P1STp","P1STdtau","P1STETR","P1STlsigma","P1STlconnect","P1STltau","P1antennae","P1NPQ","P1Qm","P1mtQm","P1quotient","P1density","P1hostprot","P1hostcarb","P1PR","P1LEDR","P1grossPhotocell","P1netPhotochla","P1grossPhotocm2","P1tauAve","P1tauAve2","P1tau2","P1tau3","P1alp1","P1alp2","P1alp3","P1MTtauAve","P1MTtau1","P1MTtau2","P1MTtau3","P1ltauAve","P1lMTtauAve","P1MTfvfm","P1MTlfvfm","P1mtNPQ","P1PAM"
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","1","NA1-5","B",0.000944146521415027,0.000336173619060936,2.88667072927496e-06,0.000558721213026646,540.3260915,7.23102213712634,0.0133827002820691,2.8360990474239e-09,0.494,0.175,194,0.06,299,368068.925,171,0.67,1576,0.881443299,0.394178773,0.645748987854251,0.549469964664311,8.2415608432182e-15,332903.225743339,190.61449338354,0.55788505376679,2.837385167,-0.00144402,3.03346243988542e-09,3.92212745811201e-10,0.00100984943140911,1464,18514,2702,178500,0.286,0.714,0.1,23792,10289,29196,40000,1591,27699,0.566,0.255,0.207809499,0.651
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","2","NA2-5","B",0.00157710267900312,0.000348697605060651,2.90655520365388e-06,0.000712899978205075,535.2970764,7.02525564682577,0.0131240314146161,4.14417238752642e-09,0.475,0.266,182,0.08,249,524858.698,190,0.55,130,1.043956044,0.232144724,0.44,0.296229802513465,1.11318714725487e-14,380559.139805586,445.102575466955,0.10317311406601,3.439919711,-0.01065453,5.84265956738525e-09,5.89896310662927e-10,0.00222347749914101,1174,12085,2061,109060,0.08,0.92,0.1,20128,2750,21644,40000,1818,21175,0.557,0.392,0.060495627,0.684
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","3","NA3-5","B",0.00130464303179126,0.00038634773075807,2.8732756201202e-06,0.000839880513052508,541.0804113,6.80121441161458,0.0125696925439862,3.51376137464759e-09,0.454,0.099,169,0.09,375,181389.1365,130,0.7,1186,0.769230769,0.616876219,0.781938325991189,0.618421052631579,3.62197317930054e-14,371295.285218993,357.87458223874,0.0348301635304272,2.149751695,-0.020262807,6.56986587419484e-09,5.16637347684123e-10,0.0024393602236097,1542,16291,3066,224449,0.2,0.8,0.1,18125,2560,22010,40000,1620,30464,0.532,0.203,0.481500263,0.6636667
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","4","NA4-5","B",0.00124331942205645,0.000631844384093935,4.46515913560102e-06,0.00165696006680766,517.0039534,10.5536692321962,0.0204131306207458,6.30243675155196e-09,0.476,0.197,173,0.11,301,369489.1615,164,0.68,237,0.947976879,0.300756198,0.586134453781513,0.422939068100358,2.3358664478387e-14,197275.985633697,204.693345080041,0.044161437256334,3.706840912,-0.007949854,8.63077335187904e-09,5.97179673996706e-10,0.00170264431977298,1764,18270,3254,204132,0.085,0.915,0.1,21528,1967,23355,40000,1597,22549,0.558,0.322,0.127418279,0.687
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","5","NA5-5","B",0.00110613599204425,0.000473699358846808,2.31013306570946e-06,0.000282461511791641,504.8215376,4.8305020654757,0.00956873212747749,2.71643579029715e-09,0.448,0.238,189,0.08,344,487672.353,199,0.59,177,1.052910053,0.292388108,0.46875,0.362616822429907,8.87931830690534e-15,407201.228902688,359.094171346364,0.27926232589917,2.683293833,-0.006318519,4.3301980517645e-09,5.62350611484448e-10,0.00176326196807053,1154,6213,1981,69625,0.217,0.783,0.1,15739,2525,19404,40000,1349,18748,0.535,0.341,0.059328091,0.6543334
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","6","NA6-5","B",0.00152082657958634,0.00074528706431454,3.11368920946414e-06,0.000900723477963278,546.823187,6.92034683389344,0.0126555475305648,5.06172955620373e-09,0.434,0.192,176,0.24,292,366355.968,163,0.64,260,0.926136364,0.360155136,0.557603686635945,0.420152091254753,2.07882017054144e-14,300455.913872836,401.315763692522,0.444033966619223,2.981765145,-0.010541348,7.61588175876633e-09,7.31427149201994e-10,0.0022882367137776,1488,22330,2543,251879,0.19,0.81,0.1,20504,1458,24968,40000,1899,22376,0.526,0.305,0.241779529,0.6573333
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","7","NA7-5","B",0.0010643893867418,0.000218749283514954,1.45358156956881e-06,0.000253341126595481,518.7423173,4.36605362630972,0.00841661356843718,1.88665946464768e-09,0.445,0.16,170,0.19,370,294888.8,147,0.7,210,0.864705882,0.408951304,0.640449438202247,0.477011494252874,1.26610159961486e-14,564166.139510804,101.5024326302,0.219621680439816,2.021509755,-0.014599124,3.73359181388508e-09,4.32120085121886e-10,0.00210636608014868,1648,18260,2738,203768,0.178,0.822,0.1,20387,2011,24361,40000,1583,26087,0.522,0.273,0.233069667,0.6763333
"CNikkoAcropora","C","Nikko","Acropora","trenchii","10","8","NA8-5","B",0.000712491511400657,0.000364363754731958,2.50622146120262e-06,0.00030255200483323,557.1047449,6.43680132213326,0.0115540235136368,1.76019210923198e-09,0.455,0.152,165,0.24,312,271904.82,130,0.7,941,0.787878788,0.453876789,0.665934065934066,0.521178637200737,7.02343451982113e-15,404780.539387564,189.137825141389,0.136538780545675,1.98696062,-0.001014212,1.90970569889375e-09,2.73457579493634e-10,0.000773011702869717,1437,14746,2455,196252,0.205,0.795,0.1,18456,1391,22859,40000,1394,21464,0.543,0.26,0.288834265,0.6653333
"COffshoreAcropora","C","Offshore","Acropora","C21-sp","10","1","OA1-5","B",0.00119572493007476,0.000324087997787912,1.65696916151168e-06,0.000573015625062629,754.2487152,6.77850371666546,0.00898709348794587,3.58995411090374e-09,0.455,0.274,194,0.15,341,576290.774,202,0.57,398,1.041237113,0.33593481,0.397802197802198,0.303939962476548,1.1492491483145e-14,333075.268690204,213.238518118319,0.382566935191942,2.183606985,-0.013876898,6.62301681201004e-09,5.29608636501528e-10,0.00220596310419998,872,10269,2015,144665,0.093,0.907,0.1,19072,4020,20623,40000,876,17170,0.533,0.371,0.146923077,0.6683334
"COffshoreAcropora","C","Offshore","Acropora","C21-sp","10","2","OA2-5","B",0.00104542744521914,0.00024812482110355,2.11697944684649e-06,0.000694404004789336,636.6094664,5.6360608588324,0.00885324701610878,2.21729198204777e-09,0.439,0.232,204,0.23,333,513106.512,197,0.61,318,0.965686275,0.349394959,0.471526195899772,0.314779270633397,5.76546109234277e-15,471488.398318043,353.449057056276,0.103016424990399,3.992282064,-0.007294635,2.95829563116371e-09,3.93411646464569e-10,0.00139480206888864,1068,6015,2328,61633,0.086,0.914,0.1,25075,2892,27150,40000,1106,24226,0.521,0.357,0.229669622,0.6543334
